hilucs,hilucs_desc
111,1_1_1_CommercialAgriculturalProduction
112,1_1_2_FarmingInfrastructure
133,1_3_3_OtherMiningAndQuarrying
141,1_4_1_Aquaculture
150,1_5_OtherPrimaryProduction
200,2_SecondaryProduction
211,2_1_1_ManufacturingOfTextileProducts
212,2_1_2_ManufacturingOfWoodAndWoodBasedProducts
213,2_1_3_ManufacturingOfPulpPaperAndPaperProducts
214,2_1_4_ManufacturingOfCokeRefinedPetroleumProductsAndNuclearFuel
216,2_1_6_ManufacturingOfBasicMetalsAndFabricatedMetals
217,2_1_7_ManufacturingOfNonMetallicMineralProducts
221,2_2_1_ManufacturingOfMachinery
231,2_3_1_ManufacturingOfFoodBeveragesAndTobaccoProducts
235,2_3_5_ManufacturingOfOtherLightEndProducts
240,2_4_EnergyProduction
244,2_4_4_RenewableEnergyProduction
311,3_1_1_WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods
313,3_1_3_AccomodationAndFoodServices
321,3_2_1_FinancialAndInsuranceServices
322,3_2_2_ProfessionalTechnicalAndScientificServices
325,3_2_5_OtherFinancialProfessionalAndInformationServices
331,3_3_1_PublicAdministrationDefenseAndSocialSecurityServices
332,3_3_2_EducationalServices
333,3_3_3_HealthAndSocialServices
334,3_3_4_ReligiousServices
335,3_3_5_OtherCommunityServices
341,3_4_1_CulturalServices
342,3_4_2_EntertainmentServices
343,3_4_3_SportsInfrastructure
344,3_4_4_OpenAirRecreationalAreas
345,3_4_5_OtherRecreationalServices
411,4_1_1_RoadTranport
414,4_1_4_WaterTransport
420,4_2_LogisticalAndStorageServices
431,4_3_1_ElectricityGasAndThemalPowerDistributionServices
432,4_3_2_WaterAndSewageInfrastructure
500,5_ResidentialUse
610,6_1_TransitionalAreas
631,6_3_1_LandAreasNotInOtherEconomicUse
632,6_3_2_WaterAreasNotInOtherEconomicUse
660,6_6_NotKnownUse
